agency_id,route_id,route_long_name,route_short_name,route_type
DIMTS,1993,818BUP,,3
DIMTS,2139,158UP,,3
DIMTS,10015,544DOWN,,3
DIMTS,10410,102LSTLDOWN,,3
DIMTS,10016,DW-3STLDOWN,,3
DIMTS,956,274ADOWN,,3
DIMTS,10411,972ASTLUP2,,3
DIMTS,10017,DW-3STLUP,,3
DIMTS,55,507CLUP,,3
DIMTS,441,469UP,,3
DIMTS,10412,149BDOWN,,3
DIMTS,560,208LNKSTLDOWN,,3
DIMTS,10018,957DOWN,,3
DIMTS,1457,172LSTLDOWN,,3
DIMTS,10019,47ADOWN,,3
DIMTS,900,806UP,,3
DIMTS,10413,819STLUP2,,3
DIMTS,1018,161UP,,3
DIMTS,1319,825STLDOWN,,3
DIMTS,10021,DW-4DOWN,,3
DIMTS,10414,260PMSLSTLDOWN,,3
DIMTS,1460,260UP,,3
DIMTS,1983,953STLDOWN,,3
DIMTS,1518,143DOWN,,3
DIMTS,1249,887UP,,3
DIMTS,1379,153DOWN,,3
DIMTS,10415,169STLDWN3,,3
DIMTS,316,826LINKSTLUP,,3
DIMTS,408,776STLUP,,3
DIMTS,10023,S-1DOWN,,3
DIMTS,720,706DOWN,,3
DIMTS,1241,981STLUP,,3
DIMTS,10024,460DOWN,,3
DIMTS,134,751UP,,3
DIMTS,254,380UP,,3
DIMTS,1933,518DOWN,,3
DIMTS,10416,828STLDOWN2,,3
DIMTS,1214,729UP,,3
DIMTS,2050,847UP,,3
DIMTS,808,412DOWN,,3
DIMTS,10417,ML06UP,,3
DIMTS,10025,490UP,,3
DIMTS,1872,129STLDOWN,,3
DIMTS,425,703ADOWN,,3
DIMTS,10418,215STLUP2,,3
DIMTS,1042,774DOWN,,3
DIMTS,10419,885EDOWN,,3
DIMTS,1596,764DOWN,,3
DIMTS,1972,623EXTDOWN,,3
DIMTS,1511,340UP,,3
DIMTS,30,131DOWN,,3
DIMTS,133,801DOWN,,3
DIMTS,949,979DOWN,,3
DIMTS,571,790+825UP,,3
DIMTS,1356,188DOWN,,3
DIMTS,605,218UP,,3
DIMTS,1758,215STLDOWN,,3
DIMTS,539,966ADOWN,,3
DIMTS,1693,790ADOWN,,3
DIMTS,1575,540STLDOWN,,3
DIMTS,10026,522AUP,,3
DIMTS,1490,172STLUP,,3
DIMTS,1185,801LSTLDOWN,,3
DIMTS,2066,173STLUP,,3
DIMTS,1979,826UP,,3
DIMTS,1487,729DOWN,,3
DIMTS,10420,844STLDOWN2,,3
DIMTS,2044,818ADOWN,,3
DIMTS,1700,824STLUP,,3
DIMTS,10421,972ASTLDWN2,,3
DIMTS,574,934DOWN,,3
DIMTS,1409,825STLUP,,3
DIMTS,231,790DOWN,,3
DIMTS,1644,780DOWN,,3
DIMTS,4,978STLDOWN,,3
DIMTS,1922,883EXTUP,,3
DIMTS,10028,511UP,,3
DIMTS,10422,824LNKSTLDOWN2,,3
DIMTS,10029,569UP,,3
DIMTS,1115,816BUP,,3
DIMTS,1486,943UP,,3
DIMTS,1,102STLDOWN,,3
DIMTS,2132,946DOWN,,3
DIMTS,340,792STLUP,,3
DIMTS,1072,956DOWN,,3
DIMTS,1917,623DOWN,,3
DIMTS,382,567STLUP,,3
DIMTS,1318,887DOWN,,3
DIMTS,151,236EUP,,3
DIMTS,238,359UP,,3
DIMTS,296,310DOWN,,3
DIMTS,604,129LSTLDOWN,,3
DIMTS,476,926AUP,,3
DIMTS,982,171STLDOWN,,3
DIMTS,1269,147UP,,3
DIMTS,2125,102UP,,3
DIMTS,2012,859STLUP,,3
DIMTS,10423,(+)OUTERMUDRIKA,,3
DIMTS,10032,605DOWN,,3
DIMTS,159,128DOWN,,3
DIMTS,1854,260STLUP,,3
DIMTS,10424,990STLDOWN2,,3
DIMTS,1183,113STLDOWN,,3
DIMTS,10034,433UP,,3
DIMTS,1908,227ASTLUP,,3
DIMTS,10425,205LINKSTLDOWN,,3
DIMTS,1603,819UP,,3
DIMTS,10426,905STLDWN,,3
DIMTS,10427,218LSTLUP,,3
DIMTS,479,73DOWN,,3
DIMTS,10428,MC715DOWN,,3
DIMTS,1621,824UP,,3
DIMTS,2102,949AUP,,3
DIMTS,10429,MC127STLUP,,3
DIMTS,10036,RL-77BDOWN,,3
DIMTS,10430,717CUP3,,3
DIMTS,10431,990STLUP2,,3
DIMTS,10432,801LINKSTLDOWN,,3
DIMTS,1251,981UP,,3
DIMTS,10433,103EDOWN,,3
DIMTS,6,790AUP2,,3
DIMTS,478,147STLUP,,3
DIMTS,10434,794LSTLDOWN,,3
DIMTS,632,919STLUP,,3
DIMTS,2018,469DOWN,,3
DIMTS,684,113AUP,,3
DIMTS,10037,511DOWN,,3
DIMTS,1418,412STLUP,,3
DIMTS,10435,214ADOWN,,3
DIMTS,1707,354DOWN,,3
DIMTS,1303,307UP,,3
DIMTS,1795,717AUP,,3
DIMTS,10038,845UP,,3
DIMTS,10436,172EUP,,3
DIMTS,10437,131AUP2,,3
DIMTS,10438,310STLDOWN,,3
DIMTS,10439, 702DOWN,,3
DIMTS,1697,836EUP,,3
DIMTS,10440,764AUP2,,3
DIMTS,10441,717CUP2,,3
DIMTS,464,752DOWN,,3
DIMTS,1948,107DOWN,,3
DIMTS,92,261DOWN,,3
DIMTS,10442,824LNKSTLUP2,,3
DIMTS,1226,861AUP,,3
DIMTS,1804,434DOWN,,3
DIMTS,10443,844STLUP2,,3
DIMTS,1756,473CLDOWN,,3
DIMTS,10444,ML96DOWN,,3
DIMTS,1425,456DOWN,,3
DIMTS,1791,144ADOWN,,3
DIMTS,731,227UP,,3
DIMTS,1304,998UP,,3
DIMTS,1658,213DOWN,,3
DIMTS,579,165DOWN,,3
DIMTS,473,175DOWN,,3
DIMTS,1622,126UP,,3
DIMTS,10445,863AUP2,,3
DIMTS,10039,845DOWN,,3
DIMTS,240,878UP,,3
DIMTS,10040,OMS(-),,3
DIMTS,31,834STLDOWN,,3
DIMTS,1893,753UP,,3
DIMTS,10446,103EUP,,3
DIMTS,1008,944LSTLDOWN,,3
DIMTS,456,926STLUP,,3
DIMTS,10447,989ADOWN,,3
DIMTS,10448,CBD1-DOWN,,3
DIMTS,993,885UP,,3
DIMTS,995,137AUP,,3
DIMTS,527,133DOWN,,3
DIMTS,281,946UP,,3
DIMTS,528,628UP,,3
DIMTS,1081,776DOWN,,3
DIMTS,1489,311ADOWN,,3
DIMTS,10449,RL-77EXTSTLDOWN,,3
DIMTS,449,578DOWN,,3
DIMTS,667,568DOWN,,3
DIMTS,10041,921EXTUP,,3
DIMTS,68,119LNKSTLUP,,3
DIMTS,676,434UP,,3
DIMTS,10450,972BSTLDOWN,,3
DIMTS,10451,833STLDOWN,,3
DIMTS,809,871DOWN,,3
DIMTS,738,317STLDOWN,,3
DIMTS,612,708UP,,3
DIMTS,10452,588LSTLUP,,3
DIMTS,10453,191DWN,,3
DIMTS,338,237DOWN,,3
DIMTS,619,227DOWN,,3
DIMTS,1117,239UP,,3
DIMTS,248,102STLUP,,3
DIMTS,10454,214AUP,,3
DIMTS,525,281UP,,3
DIMTS,148,141DOWN,,3
DIMTS,10045,954DOWN,,3
DIMTS,1541,822STLUP,,3
DIMTS,1062,944DOWN,,3
DIMTS,10455,724BUP3,,3
DIMTS,10456,MC715STLDOWN,,3
DIMTS,242,148ADOWN,,3
DIMTS,10457,172BUP,,3
DIMTS,10046,RL-79UP,,3
DIMTS,10458,567BUP2,,3
DIMTS,10459,CENTRALSECRETARIAT-PMS,,3
DIMTS,2122,175STLUP,,3
DIMTS,727,588UP,,3
DIMTS,1892,174STLUP,,3
DIMTS,1484,817EXTUP,,3
DIMTS,1616,205LINKSTLUP,,3
DIMTS,719,817NUP,,3
DIMTS,811,885DOWN,,3
DIMTS,66,227ADOWN,,3
DIMTS,899,770CUP,,3
DIMTS,10049,S-1STLUP,,3
DIMTS,10460,721BDOWN,,3
DIMTS,10461,817LNSKDOWN,,3
DIMTS,1239,801LSTLUP,,3
DIMTS,375,258UP,,3
DIMTS,518,953LSTLUP,,3
DIMTS,896,73UP,,3
DIMTS,760,370DOWN,,3
DIMTS,1591,218DOWN,,3
DIMTS,1931,962UP,,3
DIMTS,1482,141STLDOWN,,3
DIMTS,10462,992DWN,,3
DIMTS,1336,AIR-05STLDOWN,,3
DIMTS,10463,991STLDOWN,,3
DIMTS,1118,711UP,,3
DIMTS,10464,172ESTLUP,,3
DIMTS,1044,885STLDOWN,,3
DIMTS,166,792DOWN,,3
DIMTS,932,114STLDOWN,,3
DIMTS,1654,193ADOWN,,3
DIMTS,323,378UP,,3
DIMTS,1088,926DOWN,,3
DIMTS,423,123UP,,3
DIMTS,2039,378STLDOWN,,3
DIMTS,422,878DOWN,,3
DIMTS,487,85AEXTUP,,3
DIMTS,428,901CLDOWN,,3
DIMTS,2097,956STLUP,,3
DIMTS,436,267UP,,3
DIMTS,10465,990BUP,,3
DIMTS,1315,109STLUP,,3
DIMTS,10466,568ADOWN,,3
DIMTS,10467,356STLDOWN2,,3
DIMTS,10468,540CLUP,,3
DIMTS,1985,412UP,,3
DIMTS,991,838UP,,3
DIMTS,626,148DOWN,,3
DIMTS,311,628LSTLUP,,3
DIMTS,10469,938BDOWN,,3
DIMTS,10470,819STLDOWN2,,3
DIMTS,1090,158DOWN,,3
DIMTS,10471,567ADOWN2,,3
DIMTS,10472,MC127STLDOWN,,3
DIMTS,10473,131STLDOWN2,,3
DIMTS,10474, CENTRALSECRETARIATCIRCULARSERVICE,,3
DIMTS,712,419DOWN,,3
DIMTS,347,885STLUP,,3
DIMTS,522,334DOWN,,3
DIMTS,1244,174LSTLDOWN,,3
DIMTS,1859,522CLUP,,3
DIMTS,548,511ASTLDOWN,,3
DIMTS,10475,717CDOWN3,,3
DIMTS,10476,307LNKSTLUP,,3
DIMTS,10477,281ADOWN,,3
DIMTS,19,770AUP,,3
DIMTS,10478,141STLDOWN2,,3
DIMTS,1211,193DOWN,,3
DIMTS,889,818AUP,,3
DIMTS,875,972DOWN,,3
DIMTS,1550,918UP,,3
DIMTS,1580,923ADOWN,,3
DIMTS,10479,191STLDWN2,,3
DIMTS,1429,962DOWN,,3
DIMTS,585,817NDOWN,,3
DIMTS,1801,722DOWN,,3
DIMTS,10480,AIR-08STLDOWN,,3
DIMTS,10481,172EDOWN,,3
DIMTS,10482,949STLDOWN2,,3
DIMTS,10483,764ADOWN2,,3
DIMTS,2021,137STLUP,,3
DIMTS,10484,729EUP2,,3
DIMTS,1672,270STLDOWN,,3
DIMTS,1321,236BDOWN,,3
DIMTS,2069,109AUP,,3
DIMTS,332,AIRPORTEXP08DOWN,,3
DIMTS,10485,717CDOWN2,,3
DIMTS,26,353STLDOWN,,3
DIMTS,285,85DOWN,,3
DIMTS,222,258STLUP,,3
DIMTS,427,979UP,,3
DIMTS,10486,AIR-08DOWN,,3
DIMTS,10487, 717UP2,,3
DIMTS,1635,847DOWN,,3
DIMTS,603,835DOWN,,3
DIMTS,627,85EXTUP,,3
DIMTS,2015,825DOWN,,3
DIMTS,787,822STLDOWN,,3
DIMTS,10488,AIR-08UP,,3
DIMTS,757,205LNKSTLDOWN,,3
DIMTS,14,136LSTLDOWN,,3
DIMTS,138,107UP,,3
DIMTS,10489,901STLDOWN,,3
DIMTS,120,944UP,,3
DIMTS,978,318STLUP,,3
DIMTS,59,236BUP,,3
DIMTS,10490,523STLUP,,3
DIMTS,10491,356STLDOWN3,,3
DIMTS,1563,745STLUP,,3
DIMTS,41,772UP,,3
DIMTS,1281,859UP,,3
DIMTS,46,507CLDOWN,,3
DIMTS,10492,954STLDOWN,,3
DIMTS,10493,972EXTDWN,,3
DIMTS,10494,921AEXTDOWN,,3
DIMTS,2004,886ADOWN,,3
DIMTS,2061,740DOWN,,3
DIMTS,1180,790STLDOWN,,3
DIMTS,10495,887ADOWN,,3
DIMTS,646,628DOWN,,3
DIMTS,2036,AIRPORTEXP08UP,,3
DIMTS,1469,980UP,,3
DIMTS,10057,DW-4STLDOWN,,3
DIMTS,345,114STLUP,,3
DIMTS,1401,764MVSTLDOWN,,3
DIMTS,10496,783AUP2,,3
DIMTS,1109,149DOWN,,3
DIMTS,10497,838ADOWN2,,3
DIMTS,10498,879AUP,,3
DIMTS,455,859STLDOWN,,3
DIMTS,10060,879DOWN,,3
DIMTS,1067,979AUP,,3
DIMTS,780,825UP,,3
DIMTS,10499,522BUP,,3
DIMTS,287,776STLDOWN,,3
DIMTS,10062,GL-91STLDOWN,,3
DIMTS,10500,ML96STLDOWN,,3
DIMTS,10501,MC137UP,,3
DIMTS,547,776UP,,3
DIMTS,1085,891STLDOWN,,3
DIMTS,980,137STLDOWN,,3
DIMTS,511,33LINKSTLDOWN,,3
DIMTS,1002,161ADOWN,,3
DIMTS,45,119LNKSTLDOWN,,3
DIMTS,10502,991STLUP,,3
DIMTS,10503,214LSTLUP,,3
DIMTS,590,103UP,,3
DIMTS,756,940UP,,3
DIMTS,1961,703AUP,,3
DIMTS,10504,991ASTLDOWN,,3
DIMTS,10063,879UP,,3
DIMTS,10505, 717STLDOWN2,,3
DIMTS,804,817NEXTUP,,3
DIMTS,2136,835LSTLDOWN,,3
DIMTS,928,752UP,,3
DIMTS,1836,717UP,,3
DIMTS,10506,RL-75STLUP,,3
DIMTS,1172,817NEXTDOWN,,3
DIMTS,324,AIRPORTEXP08STLUP,,3
DIMTS,10507,979LNKSTLDOWN,,3
DIMTS,10508,938BSTLUP,,3
DIMTS,939,114ASTLDOWN,,3
DIMTS,1853,949ADOWN,,3
DIMTS,831,872STLDOWN,,3
DIMTS,431,378DOWN,,3
DIMTS,10509,218LSTLDOWN,,3
DIMTS,1463,434STLDOWN,,3
DIMTS,1551,427DOWN,,3
DIMTS,1706,751DOWN,,3
DIMTS,47,104DOWN,,3
DIMTS,10510,473EDOWN,,3
DIMTS,294,114DOWN,,3
DIMTS,1326,792UP,,3
DIMTS,1288,114ASTLUP,,3
DIMTS,170,824DOWN,,3
DIMTS,788,834STLUP,,3
DIMTS,866,356LNKSTLDOWN,,3
DIMTS,10066,OMS(+),,3
DIMTS,1433,834DOWN,,3
DIMTS,696,801UP,,3
DIMTS,10511,901ADOWN,,3
DIMTS,432,836ESTLUP,,3
DIMTS,795,844UP,,3
DIMTS,10067,GL-23UP,,3
DIMTS,10512,863ADOWN2,,3
DIMTS,549,708STLDOWN,,3
DIMTS,1824,534UP,,3
DIMTS,1718,719STLDOWN,,3
DIMTS,1216,774BUP,,3
DIMTS,1310,801STLUP,,3
DIMTS,25,790BDOWN,,3
DIMTS,839,185LSTLDOWN,,3
DIMTS,236,578CDOWN,,3
DIMTS,10513,MC137DOWN2,,3
DIMTS,893,728EDOWN,,3
DIMTS,10514,794LSTLUP,,3
DIMTS,10515,116ADWN,,3
DIMTS,251,990CLUP,,3
DIMTS,1774,156STLUP,,3
DIMTS,469,886AUP,,3
DIMTS,2072,412STLDOWN,,3
DIMTS,1003,254DOWN,,3
DIMTS,10070,569DOWN,,3
DIMTS,1257,790UP,,3
DIMTS,10516,781UP2,,3
DIMTS,959,817NSTLUP,,3
DIMTS,234,886UP,,3
DIMTS,443,236DOWN,,3
DIMTS,10517,794STLUP2,,3
DIMTS,1839,940STLDOWN,,3
DIMTS,1406,270STLUP,,3
DIMTS,367,715UP,,3
DIMTS,29,849STLUP,,3
DIMTS,220,715DOWN,,3
DIMTS,437,784STLDOWN,,3
DIMTS,2127,918DOWN,,3
DIMTS,10074,908DOWN,,3
DIMTS,1926,836STLDOWN,,3
DIMTS,262,801STLDOWN,,3
DIMTS,806,966UP,,3
DIMTS,2031,923UP,,3
DIMTS,10518,724BDOWN3,,3
DIMTS,10519,ML06STLDOWN,,3
DIMTS,1171,378STLUP,,3
DIMTS,1492,719ADOWN,,3
DIMTS,10520,219LSTLUP,,3
DIMTS,149,940STLUP,,3
DIMTS,693,261UP,,3
DIMTS,855,144STLDOWN,,3
DIMTS,1572,173STLDOWN,,3
DIMTS,840,774UP,,3
DIMTS,1850,546DOWN,,3
DIMTS,1731,753STLUP,,3
DIMTS,10521,938BUP,,3
DIMTS,10522,775LINKSTLDOWN,,3
DIMTS,215,207STLUP,,3
DIMTS,420,433LINKSTLUP,,3
DIMTS,10523,534EUP,,3
DIMTS,584,568UP,,3
DIMTS,864,578LSTLDOWN,,3
DIMTS,10524,850BDOWN,,3
DIMTS,2016,942UP,,3
DIMTS,1444,144UP,,3
DIMTS,677,876STLUP,,3
DIMTS,845,817EXTDOWN,,3
DIMTS,1144,179UP,,3
DIMTS,10077,DW-2LSTLDOWN,,3
DIMTS,10525,957BUP,,3
DIMTS,10526,AIR-08STLUP,,3
DIMTS,1247,783DOWN,,3
DIMTS,789,320UP,,3
DIMTS,1070,182ACLDOWN,,3
DIMTS,1157,205LNKSTLUP,,3
DIMTS,10527,917LSTLUP,,3
DIMTS,10528,169STLUP3,,3
DIMTS,623,261LNKSTLDOWN,,3
DIMTS,10079,RL-79DOWN,,3
DIMTS,72,120STLUP,,3
DIMTS,10080,448UP,,3
DIMTS,1159,818BDOWN,,3
DIMTS,1891,534DOWN,,3
DIMTS,10529,721BUP,,3
DIMTS,10081,DW-4STLUP,,3
DIMTS,1532,774BDOWN,,3
DIMTS,486,CBD2(+)UP,,3
DIMTS,711,175UP,,3
DIMTS,1285,891DOWN,,3
DIMTS,10082,130UP,,3
DIMTS,265,128STLDOWN,,3
DIMTS,260,108DOWN,,3
DIMTS,1036,188UP,,3
DIMTS,869,274UP,,3
DIMTS,10530,784AUP,,3
DIMTS,10531,523STLDOWN,,3
DIMTS,1346,893UP,,3
DIMTS,876,953STLUP,,3
DIMTS,10532,878STLUP2,,3
DIMTS,674,628STLDOWN,,3
DIMTS,10533,182EUP,,3
DIMTS,985,745UP,,3
DIMTS,10534,214STLDOWN,,3
DIMTS,1179,828DOWN,,3
DIMTS,105,940DOWN,,3
DIMTS,733,838DOWN,,3
DIMTS,561,778UP,,3
DIMTS,1534,926ADOWN,,3
DIMTS,10535,972BSTLUP,,3
DIMTS,10536,962ASTLDOWN,,3
DIMTS,615,816UP,,3
DIMTS,10085,DW-1UP,,3
DIMTS,570,588DOWN,,3
DIMTS,1412,824STLDOWN,,3
DIMTS,10537,807BUP,,3
DIMTS,2114,354UP,,3
DIMTS,1691,205LSTLUP,,3
DIMTS,164,944LSTLUP,,3
DIMTS,665,144STLUP,,3
DIMTS,225,148UP,,3
DIMTS,366,370UP,,3
DIMTS,10538,901CUP,,3
DIMTS,758,817DOWN,,3
DIMTS,1667,708STLUP,,3
DIMTS,1116,859LSTLUP,,3
DIMTS,380,390DOWN,,3
DIMTS,681,801LNKSTLUP,,3
DIMTS,364,380DOWN,,3
DIMTS,1877,719UP,,3
DIMTS,10088,GL-23DOWN,,3
DIMTS,1840,859ADOWN,,3
DIMTS,10539,990BDOWN,,3
DIMTS,440,129UP,,3
DIMTS,503,772DOWN,,3
DIMTS,1357,156STLDOWN,,3
DIMTS,1790,161STLDOWN,,3
DIMTS,1206,137DOWN,,3
DIMTS,333,191UP,,3
DIMTS,10540,929EDOWN,,3
DIMTS,1665,505UP,,3
DIMTS,759,215UP,,3
DIMTS,581,578AUP,,3
DIMTS,1897,114BDOWN,,3
DIMTS,259,215STLUP,,3
DIMTS,421,741STLUP,,3
DIMTS,315,405AUP,,3
DIMTS,10089,957UP,,3
DIMTS,292,114UP,,3
DIMTS,2151,88ADOWN,,3
DIMTS,1411,724UP,,3
DIMTS,520,761UP,,3
DIMTS,10541,237AUP,,3
DIMTS,10542,MC341DOWN,,3
DIMTS,1547,433LSTLDOWN,,3
DIMTS,10091,425UP,,3
DIMTS,1604,182ACLUP,,3
DIMTS,10092,460UP,,3
DIMTS,10543,136LNKSTLDOWN,,3
DIMTS,211,543ALSTLUP,,3
DIMTS,10544,MC715STLUP,,3
DIMTS,1264,153UP,,3
DIMTS,10094,116UP,,3
DIMTS,1156,740EXTUP,,3
DIMTS,10545,949STLUP2,,3
DIMTS,1256,217UP,,3
DIMTS,10546,962ASTLUP,,3
DIMTS,110,706AUP,,3
DIMTS,168,427UP,,3
DIMTS,413,990ECLUP,,3
DIMTS,2001,819STLUP,,3
DIMTS,1203,962LSTLDOWN,,3
DIMTS,892,825+790DOWN,,3
DIMTS,1057,205DOWN,,3
DIMTS,844,763UP,,3
DIMTS,401,173DOWN,,3
DIMTS,1136,172ADOWN,,3
DIMTS,1151,990CLDOWN,,3
DIMTS,10098,RL-75DOWN,,3
DIMTS,10547,522BDOWN2,,3
DIMTS,10548,998ASTLUP2,,3
DIMTS,10549,169DWN,,3
DIMTS,1174,147STLDOWN,,3
DIMTS,10550,901AUP,,3
DIMTS,784,219STLDOWN,,3
DIMTS,394,801AUP,,3
DIMTS,877,267DOWN,,3
DIMTS,1459,790BUP,,3
DIMTS,1940,107STLUP,,3
DIMTS,10551,102LSTLUP,,3
DIMTS,10552,MC137UP2,,3
DIMTS,1999,193UP,,3
DIMTS,1461,112STLDOWN,,3
DIMTS,917,792ADOWN,,3
DIMTS,645,539BUP,,3
DIMTS,1416,850STLUP,,3
DIMTS,169,949DOWN,,3
DIMTS,1929,753STLDOWN,,3
DIMTS,10553,(-)OUTERMUDRIKA,,3
DIMTS,1313,719DOWN,,3
DIMTS,10554,172ESTLDOWN,,3
DIMTS,10103,DW-3UP,,3
DIMTS,1521,171STLUP,,3
DIMTS,1970,317STLUP,,3
DIMTS,1231,937AUP,,3
DIMTS,686,943STLDOWN,,3
DIMTS,1663,981ADOWN,,3
DIMTS,39,511ADOWN,,3
DIMTS,990,193STLDOWN,,3
DIMTS,10555,998STLDOWN2,,3
DIMTS,10556,567ASTLDOWN2,,3
DIMTS,10557,717STLUP2,,3
DIMTS,1946,790+876UP,,3
DIMTS,150,775EUP,,3
DIMTS,136,824LINKSTLDOWN,,3
DIMTS,778,523UP,,3
DIMTS,1965,790STLUP,,3
DIMTS,741,567STLDOWN,,3
DIMTS,187,966DOWN,,3
DIMTS,2110,934UP,,3
DIMTS,1084,161AUP,,3
DIMTS,10104,971UP,,3
DIMTS,217,978LTDUP,,3
DIMTS,10558,130DWN,,3
DIMTS,10559,ML06DOWN,,3
DIMTS,1164,770CDOWN,,3
DIMTS,1232,320DOWN,,3
DIMTS,391,829UP,,3
DIMTS,761,258DOWN,,3
DIMTS,2070,702UP,,3
DIMTS,905,102AUP,,3
DIMTS,10560,838AUP2,,3
DIMTS,1913,728LNKSTLDOWN,,3
DIMTS,10561,891LSTLDOWN,,3
DIMTS,737,344STLDOWN,,3
DIMTS,290,891UP,,3
DIMTS,10562,829STLDOWN2,,3
DIMTS,10563,929EUP,,3
DIMTS,1435,33LNKSTLDOWN,,3
DIMTS,445,539DOWN,,3
DIMTS,2140,727DOWN,,3
DIMTS,1176,540CLDOWN,,3
DIMTS,1841,175STLDOWN,,3
DIMTS,1234,172DOWN,,3
DIMTS,1796,153STLUP,,3
DIMTS,10,993DOWN,,3
DIMTS,10564,939LSTLDOWN,,3
DIMTS,11,810UP,,3
DIMTS,247,120STLDOWN,,3
DIMTS,707,317UP,,3
DIMTS,1000,783UP,,3
DIMTS,10108,39DOWN,,3
DIMTS,209,886STLDOWN,,3
DIMTS,10565,116DWN,,3
DIMTS,10566,879STLDOWN,,3
DIMTS,10567,136AUP,,3
DIMTS,1525,944STLUP,,3
DIMTS,10568,281AUP,,3
DIMTS,2121,790ADOWN2,,3
DIMTS,10569,281STLDOWN,,3
DIMTS,256,706UP,,3
DIMTS,593,628STLUP,,3
DIMTS,1497,173UP,,3
